period,region,cor,age_group,arv_count
2013,AFRICA,South Africa (Rep of),Age 14 & Below,2404
2013,AFRICA,South Africa (Rep of),Age 15 - 19,1354
2013,AFRICA,South Africa (Rep of),Age 20 - 24,1390
2013,AFRICA,South Africa (Rep of),Age 25 - 34,5847
2013,AFRICA,South Africa (Rep of),Age 35 - 44,7417
2013,AFRICA,South Africa (Rep of),Age 45 - 54,6218
2013,AFRICA,South Africa (Rep of),Age 55 - 64,4566
2013,AFRICA,South Africa (Rep of),Age 65 & Above,2793
2013,AFRICA,South Africa (Rep of),Not Stated,1
2014,AFRICA,South Africa (Rep of),Age 14 & Below,2261
2014,AFRICA,South Africa (Rep of),Age 15 - 19,1100
2014,AFRICA,South Africa (Rep of),Age 20 - 24,1314
2014,AFRICA,South Africa (Rep of),Age 25 - 34,5189
2014,AFRICA,South Africa (Rep of),Age 35 - 44,6716
2014,AFRICA,South Africa (Rep of),Age 45 - 54,5963
2014,AFRICA,South Africa (Rep of),Age 55 - 64,4446
2014,AFRICA,South Africa (Rep of),Age 65 & Above,2769
2014,AFRICA,South Africa (Rep of),Not Stated,0
2015,AFRICA,South Africa (Rep of),Age 14 & Below,2513
2015,AFRICA,South Africa (Rep of),Age 15 - 19,1304
2015,AFRICA,South Africa (Rep of),Age 20 - 24,1505
2015,AFRICA,South Africa (Rep of),Age 25 - 34,6019
2015,AFRICA,South Africa (Rep of),Age 35 - 44,6827
2015,AFRICA,South Africa (Rep of),Age 45 - 54,6503
2015,AFRICA,South Africa (Rep of),Age 55 - 64,4708
2015,AFRICA,South Africa (Rep of),Age 65 & Above,3091
2013,AMERICAS,Canada,Age 14 & Below,5211
2013,AMERICAS,USA,Age 14 & Below,30055
2013,AMERICAS,Canada,Age 15 - 19,2269
2013,AMERICAS,USA,Age 15 - 19,10409
2013,AMERICAS,Canada,Age 20 - 24,6889
2013,AMERICAS,USA,Age 20 - 24,22775
2013,AMERICAS,Canada,Age 25 - 34,16651
2013,AMERICAS,USA,Age 25 - 34,79558
2013,AMERICAS,Canada,Age 35 - 44,12805
2013,AMERICAS,USA,Age 35 - 44,94156
2013,AMERICAS,Canada,Age 45 - 54,15775
2013,AMERICAS,USA,Age 45 - 54,108013
2013,AMERICAS,Canada,Age 55 - 64,18402
2013,AMERICAS,USA,Age 55 - 64,85218
2013,AMERICAS,Canada,Age 65 & Above,14675
2013,AMERICAS,USA,Age 65 & Above,61735
2013,AMERICAS,Canada,Not Stated,8
2013,AMERICAS,USA,Not Stated,27
2014,AMERICAS,Canada,Age 14 & Below,5081
2014,AMERICAS,USA,Age 14 & Below,28270
2014,AMERICAS,Canada,Age 15 - 19,2075
2014,AMERICAS,USA,Age 15 - 19,10226
2014,AMERICAS,Canada,Age 20 - 24,7434
2014,AMERICAS,USA,Age 20 - 24,22760
2014,AMERICAS,Canada,Age 25 - 34,16483
2014,AMERICAS,USA,Age 25 - 34,79818
2014,AMERICAS,Canada,Age 35 - 44,12800
2014,AMERICAS,USA,Age 35 - 44,90686
2014,AMERICAS,Canada,Age 45 - 54,15010
2014,AMERICAS,USA,Age 45 - 54,105447
2014,AMERICAS,Canada,Age 55 - 64,18550
2014,AMERICAS,USA,Age 55 - 64,84426
2014,AMERICAS,Canada,Age 65 & Above,15394
2014,AMERICAS,USA,Age 65 & Above,63279
2014,AMERICAS,Canada,Not Stated,0
2014,AMERICAS,USA,Not Stated,0
2015,AMERICAS,Canada,Age 14 & Below,5219
2015,AMERICAS,USA,Age 14 & Below,29710
2015,AMERICAS,Canada,Age 15 - 19,2269
2015,AMERICAS,USA,Age 15 - 19,11150
2015,AMERICAS,Canada,Age 20 - 24,7320
2015,AMERICAS,USA,Age 20 - 24,25190
2015,AMERICAS,Canada,Age 25 - 34,17039
2015,AMERICAS,USA,Age 25 - 34,83030
2015,AMERICAS,Canada,Age 35 - 44,12642
2015,AMERICAS,USA,Age 35 - 44,89851
2015,AMERICAS,Canada,Age 45 - 54,15258
2015,AMERICAS,USA,Age 45 - 54,105014
2015,AMERICAS,Canada,Age 55 - 64,18634
2015,AMERICAS,USA,Age 55 - 64,86980
2015,AMERICAS,Canada,Age 65 & Above,17866
2015,AMERICAS,USA,Age 65 & Above,68584
2013,ASIA,China,Age 14 & Below,175864
2013,ASIA,Hong Kong SAR,Age 14 & Below,75143
