period,region,cor,vdays
2013,AFRICA,South Africa (Rep of),114214
2014,AFRICA,South Africa (Rep of),105887
2015,AFRICA,South Africa (Rep of),108327
2013,AMERICAS,Canada,370399
2013,AMERICAS,USA,1909302
2014,AMERICAS,Canada,380102
2014,AMERICAS,USA,1936133
2015,AMERICAS,Canada,380997
2015,AMERICAS,USA,1934713
2013,ASIA,China,6846440
2013,ASIA,Hong Kong SAR,1469639
2013,ASIA,India,5959679
2013,ASIA,Japan,2078788
2013,ASIA,Malaysia,2590817
2013,ASIA,Philippines,4348290
2013,ASIA,South Korea,1372354
2013,ASIA,Taiwan,997736
2013,ASIA,Thailand,2057717
2013,ASIA,Vietnam,2521989
2013,ASIA,ASEAN,21332546
2013,ASIA,Indonesia,8542870
2014,ASIA,China,7479048
2014,ASIA,Hong Kong SAR,1700569
2014,ASIA,India,6167073
2014,ASIA,Japan,2121390
2014,ASIA,Malaysia,2575292
2014,ASIA,Philippines,4203926
2014,ASIA,South Korea,1571998
2014,ASIA,Taiwan,1049968
2014,ASIA,Thailand,2111499
2014,ASIA,Vietnam,2755192
2014,ASIA,ASEAN,21434106
2014,ASIA,Indonesia,8362226
2015,ASIA,China,7896533
2015,ASIA,Hong Kong SAR,1685902
2015,ASIA,India,6551313
2015,ASIA,Japan,2065430
2015,ASIA,Malaysia,2559685
2015,ASIA,Philippines,3893304
2015,ASIA,South Korea,1730527
2015,ASIA,Taiwan,1103445
2015,ASIA,Thailand,1958031
2015,ASIA,Vietnam,2109169
2015,ASIA,ASEAN,19579305
2015,ASIA,Indonesia,7706050
2013,EUROPE,France,557863
2013,EUROPE,Germany,771549
2013,EUROPE,Netherlands,309960
2013,EUROPE,Russian Federation,334000
2013,EUROPE,UK,1771055
2013,EUROPE,Scandinavia,428396
2014,EUROPE,France,581049
2014,EUROPE,Germany,828016
2014,EUROPE,Netherlands,309397
2014,EUROPE,Russian Federation,348189
2014,EUROPE,UK,1773798
2014,EUROPE,Scandinavia,426578
2015,EUROPE,France,580957
2015,EUROPE,Germany,839954
2015,EUROPE,Netherlands,296643
2015,EUROPE,Russian Federation,262073
2015,EUROPE,UK,1820697
2015,EUROPE,Scandinavia,407439
2013,OCEANIA,Australia,3332625
2013,OCEANIA,New Zealand,313520
2014,OCEANIA,Australia,3391436
2014,OCEANIA,New Zealand,324853
2015,OCEANIA,Australia,3227014
2015,OCEANIA,New Zealand,341373
